Filename,Speaker,Group,Gender,Syl_Dur_Ratio,Vow_Dur_Ratio,Delta_Int_Mean,Delta_St_Mean
L1_01_09,L1_01,Native,Male,0.5369513392231098,0.489659112130579,1.2781656863498299,4.74295239455079
L1_01_08,L1_01,Native,Male,1.0596485750334244,0.677532270271617,2.5956327201430085,0.05589902610713082
L1_01_15,L1_01,Native,Male,0.839308636309955,0.5956440570125484,-2.3534503565917504,0.8691832332936524
L1_01_20,L1_01,Native,Male,0.5594717709013788,0.4267134574823648,-1.6871167174710493,3.9227525267432983
L1_01_13,L1_01,Native,Male,1.5516948462861193,0.8399368697896658,-2.3253124621415253,2.6173554465087303
L1_01_12,L1_01,Native,Male,1.7990127469119492,0.8378903955420077,-2.4973808215456827,2.9313882329239185
L1_01_19,L1_01,Native,Male,0.6302130729688896,0.37568543768092083,-5.4245965550243795,0.6407632882507657
L1_01_18,L1_01,Native,Male,0.9666527383154997,0.4490640187784507,-2.9183887715322214,1.5107360775252872
L1_01_04,L1_01,Native,Male,1.4069710189982496,0.5077585477845821,1.1859211890210801,0.056312380495520564
L1_01_05,L1_01,Native,Male,0.8479278440833169,1.362615764908789,0.6751833740144733,2.439103411613847
